,boro,housenumber,streetname,zip,address,long,lat
11015,MANHATTAN,214,EAST 85 STREET,10028,"214 EAST 85 STREET, NEW YORK, NEW YORK",,
11016,MANHATTAN,216,EAST 85 STREET,10028,"216 EAST 85 STREET, NEW YORK, NEW YORK",,
11017,MANHATTAN,218,EAST 85 STREET,10028,"218 EAST 85 STREET, NEW YORK, NEW YORK",,
11018,MANHATTAN,220,EAST 85 STREET,10028,"220 EAST 85 STREET, NEW YORK, NEW YORK",,
11019,MANHATTAN,221,EAST 85 STREET,10028,"221 EAST 85 STREET, NEW YORK, NEW YORK",,
11020,MANHATTAN,222,EAST 85 STREET,10028,"222 EAST 85 STREET, NEW YORK, NEW YORK",,
11021,MANHATTAN,223,EAST 85 STREET,10028,"223 EAST 85 STREET, NEW YORK, NEW YORK",,
11022,MANHATTAN,224,EAST 85 STREET,10028,"224 EAST 85 STREET, NEW YORK, NEW YORK",,
11023,MANHATTAN,226,EAST 85 STREET,10028,"226 EAST 85 STREET, NEW YORK, NEW YORK",,
11024,MANHATTAN,228,EAST 85 STREET,10028,"228 EAST 85 STREET, NEW YORK, NEW YORK",,
11025,MANHATTAN,240,EAST 85 STREET,10028,"240 EAST 85 STREET, NEW YORK, NEW YORK",,
11026,MANHATTAN,3,EAST 85 STREET,10028,"3 EAST 85 STREET, NEW YORK, NEW YORK",,
11027,MANHATTAN,30,EAST 85 STREET,10028,"30 EAST 85 STREET, NEW YORK, NEW YORK",,
11028,MANHATTAN,305,EAST 85 STREET,10028,"305 EAST 85 STREET, NEW YORK, NEW YORK",,
11029,MANHATTAN,307,EAST 85 STREET,10028,"307 EAST 85 STREET, NEW YORK, NEW YORK",,
11030,MANHATTAN,308,EAST 85 STREET,10028,"308 EAST 85 STREET, NEW YORK, NEW YORK",,
11031,MANHATTAN,309,EAST 85 STREET,10028,"309 EAST 85 STREET, NEW YORK, NEW YORK",,
11032,MANHATTAN,310,EAST 85 STREET,10028,"310 EAST 85 STREET, NEW YORK, NEW YORK",,
11033,MANHATTAN,312,EAST 85 STREET,10028,"312 EAST 85 STREET, NEW YORK, NEW YORK",,
11034,MANHATTAN,313,EAST 85 STREET,10028,"313 EAST 85 STREET, NEW YORK, NEW YORK",,
11035,MANHATTAN,315,EAST 85 STREET,10028,"315 EAST 85 STREET, NEW YORK, NEW YORK",,
11036,MANHATTAN,317,EAST 85 STREET,10028,"317 EAST 85 STREET, NEW YORK, NEW YORK",,
11037,MANHATTAN,319,EAST 85 STREET,10028,"319 EAST 85 STREET, NEW YORK, NEW YORK",,
11038,MANHATTAN,320,EAST 85 STREET,10028,"320 EAST 85 STREET, NEW YORK, NEW YORK",,
11039,MANHATTAN,321,EAST 85 STREET,10028,"321 EAST 85 STREET, NEW YORK, NEW YORK",,
11040,MANHATTAN,322,EAST 85 STREET,10028,"322 EAST 85 STREET, NEW YORK, NEW YORK",,
11041,MANHATTAN,323,EAST 85 STREET,10028,"323 EAST 85 STREET, NEW YORK, NEW YORK",,
11042,MANHATTAN,324,EAST 85 STREET,10028,"324 EAST 85 STREET, NEW YORK, NEW YORK",,
11043,MANHATTAN,326,EAST 85 STREET,10028,"326 EAST 85 STREET, NEW YORK, NEW YORK",,
11044,MANHATTAN,328,EAST 85 STREET,10028,"328 EAST 85 STREET, NEW YORK, NEW YORK",,
